Id,Lat,Lng,Name,Count
144012010,25.084519524,121.557535166,"7-11",1
171128841,25.078685,121.585573,"牙醫",1
15263562,24.988844025,121.465839939,"KOHIKAN 珈琲館",5
252666774,25.047010073,121.51713213,"涓豆腐－台北車站",5
100869801,25.04972745,121.48882504,"台北威尼斯大樓",11
259534625,25.100587145,121.549050736,"艾雪的魔幻世界",7
31009459,25.053734812,121.545371352,"Joyce West Café",24
248447170,25.054621194,121.60339837,"宜蘭綠色博覽會",3
225149,25.048783,121.542828,"TIVAC",16
203927900,25.082397461,121.552810669,"巴黎藝術美甲",1
862602,25.040858,121.546062,"Chianti",18
273442968,25.035013724,121.573768306,"信義豪宅",4
97040442,25.10178,121.529072,"The Soup Cafe&more",4
264856999,25.082673248,121.553514005,"九鼎鐵板燒&鍋物",2
251627423,25.033419549,121.543124693,"The Corner",1
275580399,25.017812174,121.533551881,"台大體育館mblaq Tw Concert",1
68350912,25.025348457,121.551642958,"山花割烹壽司",17
46766619,25.084425415,121.565542396,"上林苑",4
235398470,25.065141661,121.587955167,"內湖昇恆昌",1
251928141,25.056126034,121.53762981,"Double Six",1
222803136,25.036958236,121.517604474,"中正紀念堂 自由廣場 City Tours",68
236870367,25.028336603,121.546446239,"Chess Club",3
47499849,25.052143302,121.513991439,"福君海悅大飯店",17
2943444,25.002937252,121.526671565,"華藝數位 Airiti",12
64980221,25.118369741,121.530201007,"四方居麵館",1
11773484,25.049120445,121.513556476,"京站Q小路",2
270641995,25.125068139,121.487031454,"關渡平原",5
149506636,25.04399,121.587024,"MJR Sport",10
29976443,25.035111279,121.521904136,"國家劇院",1
99240508,25.033147,121.496347,"中華民國紅十字總會",7
11837,25.037991838,121.537817095,"建國假日花市",120
265848562,24.997640383,121.572449379,"我在木柵天氣晴",10
58152393,24.996225913,121.515099969,"富壽司",5
43184391,24.993223,121.560028,"Chase's Hometown",3
257502175,25.062917302,121.584224545,"台北內湖區",2
128494553,25.048499378,121.556163875,"1980 Darts Bar",1
107671255,25.00267084,121.469951423,"瑪莉珍 師大店",3
52093045,25.08350716,121.546774907,"庫卡咖啡",40
269714000,25.051551386,121.581111865,"佳遊單車店",1
254627232,25.040907877,121.577725615,"魏姐包心粉圓台北永春店",3
10214364,25.021096843,121.548560158,"柯達大飯店(台北敦南) K Hotel(Taipei Dunnan)",48
3714963,25.037427907,121.560906247,"Faust pizza lounge",114
42417,25.000763743,121.512195609,"四號公園",1296
227705394,25.028647364,121.502044499,"台中麗寶樂園",5
2049679,25.009693173,121.465164905,"花旗銀行 Citibank (板新分行)",1
216402314,25.069922744,121.476667834,"FamilyMart 全家三重金勇店",1
48340690,25.054120682,121.561331537,"Chateau Andy 安迪城堡",18
75844168,25.043124562,121.539951665,"忠孝東路三段217巷",5
8886543,25.047518031,121.566682259,"傳播工作者教育訓練中心",41
177775152,25.020954687,121.468305731,"Puchi Loft",60
51893236,25.05977786,121.500668549,"Home Sweet Home",5
574135,25.118254,121.533804,"麻布茶房天母",3
